Symbol,Signal,Wave,Slope,NetProfit,Sharpe,Trades,Exposure,lrLen,temaFast,temaSlow,zWin,w_lr,w_fast,w_slow,entry,exit,tanhGain,smoothLen,sigLen,Error
ISCTR.IS,TUT,-6.412,-3.5879,1816105.79,2.029,50,0.613,15.0,37.0,30.0,40.0,0.2222,0.3333,0.4444,-5.0,5.0,10.0,3,3,
ASELS.IS,TUT,-9.999,-0.0006,1604373.12,2.146,44,0.635,45.0,5.0,105.0,40.0,0.7143,0.1429,0.1429,-5.0,5.0,10.0,3,3,
EKGYO.IS,TUT,9.999,0.0009,1490970.08,2.166,32,0.525,60.0,33.0,65.0,60.0,0.65,0.05,0.3,-5.0,5.0,10.0,3,3,
MGROS.IS,TUT,-4.919,-5.0809,1192338.17,2.398,43,0.599,45.0,31.0,20.0,60.0,0.5625,0.1875,0.25,-5.0,5.0,10.0,3,3,
KONTR.IS,TUT,9.909,-0.0706,952094.24,1.53,39,0.401,40.0,5.0,60.0,60.0,0.5,0.25,0.25,-5.0,5.0,10.0,3,3,
ASTOR.IS,TUT,9.924,0.0756,773375.92,2.455,15,0.435,40.0,7.0,100.0,40.0,0.5556,0.1111,0.3333,-5.0,5.0,10.0,3,3,
TTKOM.IS,TUT,10.0,0.0,728503.58,1.716,33,0.556,25.0,13.0,115.0,60.0,0.3333,0.1667,0.5,-5.0,5.0,10.0,3,3,
ODAS.IS,TUT,7.303,-2.6971,709967.0,1.651,33,0.429,45.0,29.0,85.0,40.0,0.2857,0.2857,0.4286,-5.0,5.0,10.0,3,3,
TAVHL.IS,TUT,-9.922,-0.0782,613402.58,1.734,66,0.526,20.0,11.0,70.0,40.0,0.9,0.05,0.05,-5.0,5.0,10.0,3,3,
THYAO.IS,TUT,10.0,-0.0002,604702.29,1.859,32,0.524,15.0,5.0,130.0,40.0,0.3077,0.0769,0.6154,-5.0,5.0,10.0,3,3,
SAHOL.IS,TUT,0.079,-9.92,569000.12,1.767,25,0.595,50.0,17.0,90.0,60.0,0.4118,0.1176,0.4706,-5.0,5.0,10.0,3,3,
TCELL.IS,TUT,9.974,-0.0258,568425.49,1.783,28,0.535,65.0,39.0,50.0,40.0,0.4375,0.0625,0.5,-5.0,5.0,10.0,3,3,
ALARK.IS,TUT,-5.822,-4.1783,566174.65,1.68,56,0.508,50.0,9.0,90.0,40.0,0.3333,0.5,0.1667,-5.0,5.0,10.0,3,3,
AEFES.IS,TUT,-0.0,-9.9999,541432.64,1.559,59,0.612,65.0,3.0,20.0,60.0,0.3333,0.381,0.2857,-5.0,5.0,10.0,3,3,
TOASO.IS,TUT,9.999,0.0008,520007.65,1.521,48,0.568,10.0,17.0,125.0,40.0,0.3333,0.2857,0.381,-5.0,5.0,10.0,3,3,
KCHOL.IS,TUT,10.0,-0.0003,515255.7,1.768,26,0.598,65.0,27.0,80.0,40.0,0.7143,0.1429,0.1429,-5.0,5.0,10.0,3,3,
BIMAS.IS,TUT,-7.496,-2.5037,500489.51,1.736,41,0.595,45.0,33.0,15.0,84.0,0.6429,0.1429,0.2143,-5.0,5.0,10.0,3,3,
SASA.IS,TUT,9.925,0.055,395965.62,1.205,25,0.48,15.0,5.0,130.0,40.0,0.3077,0.0769,0.6154,-5.0,5.0,10.0,3,3,
TUPRS.IS,TUT,-5.199,-4.5085,381562.92,1.386,101,0.518,10.0,25.0,115.0,40.0,0.6429,0.1429,0.2143,-5.0,5.0,10.0,3,3,
ENKAI.IS,TUT,-0.477,-9.0908,351205.55,1.283,45,0.556,35.0,15.0,60.0,40.0,0.6,0.1333,0.2667,-5.0,5.0,10.0,3,3,
FROTO.IS,TUT,8.479,-1.5211,270256.48,1.361,40,0.528,60.0,33.0,30.0,40.0,0.5,0.4,0.1,-5.0,5.0,10.0,3,3,
PETKM.IS,TUT,-6.682,-3.3178,245404.9,1.127,95,0.547,20.0,5.0,10.0,126.0,0.4667,0.4,0.1333,-5.0,5.0,10.0,3,3,
EREGL.IS,TUT,6.037,-3.6565,198038.14,1.309,35,0.45,60.0,35.0,95.0,126.0,0.5,0.4286,0.0714,-5.0,5.0,10.0,3,3,
HEKTS.IS,TUT,-3.947,-6.0531,126642.06,0.728,117,0.515,10.0,9.0,100.0,40.0,0.64,0.32,0.04,-5.0,5.0,10.0,3,3,
SISE.IS,TUT,8.784,-1.2162,107775.1,0.886,27,0.51,80.0,11.0,50.0,60.0,0.8571,0.0476,0.0952,-5.0,5.0,10.0,3,3,
AKBNK.IS,SAT,-7.262,-2.738,1423890.58,1.96,65,0.576,20.0,37.0,50.0,40.0,0.6,0.2667,0.1333,-5.0,5.0,10.0,3,3,
GARAN.IS,SAT,-0.841,-9.1594,1412744.34,2.134,29,0.532,70.0,27.0,25.0,60.0,0.65,0.3,0.05,-5.0,5.0,10.0,3,3,
YKBNK.IS,SAT,0.859,-8.5471,989493.01,1.789,93,0.497,15.0,9.0,100.0,60.0,0.72,0.24,0.04,-5.0,5.0,10.0,3,3,
KRDMD.IS,SAT,-0.025,-9.9649,467395.04,1.531,48,0.506,45.0,17.0,10.0,84.0,0.5652,0.3478,0.087,-5.0,5.0,10.0,3,3,
KOZAL.IS,ERR,,,,,0,,,,,,,,,-5.0,5.0,10.0,3,3,KOZAL.IS: no data
