Symbol,Signal,Wave,Slope,NetProfit,Sharpe,Trades,Exposure,lrLen,temaFast,temaSlow,zWin,w_lr,w_fast,w_slow,entry,exit,tanhGain,smoothLen,sigLen,Error
ISCTR.IS,TUT,-6.412,-3.5879,1746736.86,2.044,72,0.534,15.0,37.0,30.0,40.0,0.2222,0.3333,0.4444,-5.0,5.0,10.0,3,3,
AKBNK.IS,TUT,-1.086,-8.9137,1401121.64,1.909,116,0.502,10.0,37.0,55.0,40.0,0.8333,0.0833,0.0833,-5.0,5.0,10.0,3,3,
YKBNK.IS,TUT,9.887,0.111,1230569.87,1.831,77,0.53,15.0,17.0,145.0,40.0,0.4815,0.2222,0.2963,-5.0,5.0,10.0,3,3,
EKGYO.IS,TUT,9.434,0.0076,1161755.85,1.738,81,0.536,15.0,7.0,65.0,40.0,0.4545,0.1818,0.3636,-5.0,5.0,10.0,3,3,
ASELS.IS,TUT,9.856,0.1436,1036087.83,1.915,64,0.516,15.0,5.0,130.0,40.0,0.3077,0.0769,0.6154,-5.0,5.0,10.0,3,3,
MGROS.IS,TUT,2.895,-7.1051,831383.45,1.881,83,0.562,10.0,19.0,105.0,60.0,0.4444,0.1111,0.4444,-5.0,5.0,10.0,3,3,
TTKOM.IS,TUT,10.0,0.0,764297.46,1.793,48,0.55,105.0,15.0,145.0,40.0,0.6,0.2667,0.1333,-5.0,5.0,10.0,3,3,
ODAS.IS,TUT,-0.134,-9.8655,653390.87,1.448,80,0.522,20.0,15.0,80.0,40.0,0.5714,0.1429,0.2857,-5.0,5.0,10.0,3,3,
TAVHL.IS,TUT,-9.832,-0.1683,582373.15,1.811,63,0.499,25.0,37.0,60.0,60.0,0.8,0.1,0.1,-5.0,5.0,10.0,3,3,
ASTOR.IS,TUT,9.847,0.1531,549564.98,1.846,47,0.512,25.0,35.0,85.0,40.0,0.4167,0.25,0.3333,-5.0,5.0,10.0,3,3,
THYAO.IS,TUT,-5.0,-5.0,509948.83,1.652,90,0.52,15.0,35.0,55.0,40.0,0.6667,0.037,0.2963,-5.0,5.0,10.0,3,3,
TUPRS.IS,TUT,-9.87,0.1007,453556.35,1.564,73,0.511,20.0,23.0,65.0,40.0,0.4545,0.1818,0.3636,-5.0,5.0,10.0,3,3,
TOASO.IS,TUT,9.999,0.0008,417335.09,1.344,80,0.567,10.0,17.0,125.0,40.0,0.3333,0.2857,0.381,-5.0,5.0,10.0,3,3,
KONTR.IS,TUT,9.804,-0.1582,378302.63,1.03,84,0.497,15.0,17.0,80.0,84.0,0.5,0.2,0.3,-5.0,5.0,10.0,3,3,
ALARK.IS,TUT,-5.305,-4.6954,366220.32,1.26,92,0.52,10.0,19.0,105.0,60.0,0.4444,0.1111,0.4444,-5.0,5.0,10.0,3,3,
ENKAI.IS,TUT,8.542,-1.4547,305247.09,1.397,53,0.525,60.0,29.0,25.0,126.0,0.3684,0.4211,0.2105,-5.0,5.0,10.0,3,3,
BIMAS.IS,TUT,-8.149,-1.8509,289492.36,1.3,90,0.514,15.0,23.0,75.0,40.0,0.6923,0.1538,0.1538,-5.0,5.0,10.0,3,3,
PETKM.IS,TUT,-5.392,-4.6081,289271.57,1.201,81,0.51,20.0,19.0,10.0,40.0,0.7826,0.0435,0.1739,-5.0,5.0,10.0,3,3,
FROTO.IS,TUT,9.974,-0.0258,189024.39,1.348,52,0.523,80.0,9.0,35.0,252.0,0.4118,0.2353,0.3529,-5.0,5.0,10.0,3,3,
HEKTS.IS,TUT,-3.947,-6.0531,114992.22,0.704,118,0.512,10.0,9.0,100.0,40.0,0.64,0.32,0.04,-5.0,5.0,10.0,3,3,
SISE.IS,TUT,-5.0,-4.9995,74445.27,0.612,115,0.521,10.0,27.0,130.0,40.0,0.6,0.2,0.2,-5.0,5.0,10.0,3,3,
GARAN.IS,SAT,-0.242,-9.7487,585213.07,1.521,62,0.536,65.0,11.0,95.0,40.0,0.625,0.25,0.125,-5.0,5.0,10.0,3,3,
AEFES.IS,SAT,10.0,-0.0,533818.84,1.571,41,0.613,85.0,17.0,105.0,40.0,0.9,0.05,0.05,-5.0,5.0,10.0,3,3,
KCHOL.IS,SAT,0.369,-9.6313,445508.18,1.592,80,0.524,10.0,35.0,110.0,126.0,0.5385,0.1538,0.3077,-5.0,5.0,10.0,3,3,
TCELL.IS,SAT,10.0,-0.0002,393346.67,1.543,55,0.558,90.0,29.0,65.0,40.0,0.3333,0.2857,0.381,-5.0,5.0,10.0,3,3,
SASA.IS,SAT,0.415,-9.4986,352969.93,1.122,80,0.497,10.0,17.0,125.0,40.0,0.3333,0.2857,0.381,-5.0,5.0,10.0,3,3,
KRDMD.IS,SAT,9.98,-0.0128,345708.69,1.301,51,0.525,60.0,29.0,130.0,60.0,0.8182,0.0909,0.0909,-5.0,5.0,10.0,3,3,
SAHOL.IS,SAT,-0.219,-9.781,331326.54,1.399,62,0.529,45.0,11.0,80.0,40.0,0.5652,0.087,0.3478,-5.0,5.0,10.0,3,3,
EREGL.IS,SAT,10.0,-0.0,225726.84,1.266,45,0.519,100.0,35.0,145.0,84.0,0.25,0.25,0.5,-5.0,5.0,10.0,3,3,
KOZAL.IS,ERR,,,,,0,,,,,,,,,-5.0,5.0,10.0,3,3,KOZAL.IS: no data
